City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,cabedelo,75,BR,1518757200,94,-6.97,-34.84,73.4,2.24
370,laguna,68,MX,1518761092,65,27.52,-110.01,69.89,2.19
371,vaitape,80,PF,1518761092,98,-16.52,-151.75,82.31,14.94
372,bijar,64,IR,1518761093,56,35.87,47.6,36.41,3.87
373,claremore,90,US,1518760500,66,36.31,-95.62,64.4,13.87
374,strathmore,75,CA,1518758880,53,51.04,-113.4,24.8,27.51
375,aksarka,68,RU,1518761094,74,66.56,67.8,6.22,9.24
376,dali,0,CN,1518761094,48,25.6,100.24,60.85,2.19
377,moron,76,VE,1518761095,89,10.49,-68.2,65.66,3.42
378,victor harbor,20,AU,1518759000,49,-35.55,138.62,73.4,14.99
379,salalah,40,OM,1518756600,61,17.01,54.1,77.0,9.24
380,yavaros,32,MX,1518761096,58,26.7,-109.52,69.62,5.99
381,trairi,56,BR,1518760856,100,-3.28,-39.27,77.27,2.98
